"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source","AWB Number"
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","279023",""
"N/A","email","Delivery","Pincode not serviceable","","","","","12_Dec'25","12_Dec Week 1","277274",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","278852",""
"N/A","whatsapp","Delivery","Fake Order RTO","","","","","12_Dec'25","12_Dec Week 2","278966",""
"N/A","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","","12_Dec'25","12_Dec Week 2","278954",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","278543",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","278871",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","278761",""
"N/A","whatsapp","Delivery","Fake update","","","","","12_Dec'25","12_Dec Week 2","278764",""
"N/A","whatsapp","Delivery","Others","","","","","12_Dec'25","12_Dec Week 1","278214",""
"5678","instagram","Delivery","Marked Delivered but customer did not receive order","","","","Blue Dart","12_Dec'25","12_Dec Week 2","285091","7542913794"
"5678","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Blue Dart","12_Dec'25","12_Dec Week 2","279456","7542913794"
"5678","instagram","Delivery","Marked Delivered but customer did not receive order","","","","Blue Dart","12_Dec'25","12_Dec Week 1","269826","7542913794"
"5678","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Blue Dart","12_Dec'25","12_Dec Week 1","249483","7542913794"
"5678","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Blue Dart","12_Dec'25","12_Dec Week 1","249483","7542913794"
"6548","whatsapp","Delivery","Fake Order RTO","","","","Blue Dart","12_Dec'25","12_Dec Week 1","255704","75427267171"
"5321273","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","250765","18755829437891, 18755829437891, 18755829437891"
"5306757","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 2","281128",""
"9956","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Shadowfax","12_Dec'25","12_Dec Week 1","253751","SF2559367KR"
"9956","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Shadowfax","12_Dec'25","12_Dec Week 1","253751","SF2559367KR"
"5839703","whatsapp","Delivery","Fake Order RTO","","","","Shadowfax","12_Dec'25","12_Dec Week 1","267222","SF16524238MCF, SF16524238MCF, SF16524238MCF, SF16524238MCF"
"1234","whatsapp","Delivery","Fake update","","","","Xpressbees","12_Dec'25","12_Dec Week 1","262511","141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947"
"1234","instagram","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","244874","141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947"
"1234","instagram","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 2","282953",""
"1234","instagram","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 2","280758",""
"1234","whatsapp","Delivery","Fake Order RTO","","","","Xpressbees","12_Dec'25","12_Dec Week 2","278604",""
"1427","whatsapp","Delivery","Fake Order RTO","","","","Xpressbees","12_Dec'25","12_Dec Week 2","278459",""
"1234","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 2","285148","141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947"
"1234","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 2","282898","141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947"
"1234","instagram","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","273185","141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947"
"1234","instagram","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","273185","141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947"
"1234","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","270641","141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947"
"1234","instagram","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","259329","141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947"
"1234","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","253883","141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947, 141123218528947"
"6070888","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","272241","18755833284472, 18755833284472, 18755833284472, 18755833284472, 18755833284472"
"6050199","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","255119","187558331826, 187558331826"
"6077976","email","Delivery","Fake update","","","","DELHIVERY","12_Dec'25","12_Dec Week 4","379345","1875583361513, 1875583361513, 1875583361513, 1875583361513, 1875583361513, 1875583361513"
"692592","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","259715","1411232195879, 1411232195879, 1411232195879"
"700058","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 2","285713","194119917155, 194119917155, 194119917155"
"6246583","email","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","273968","15195194566633, 15195194566633, 15195194566633, 15195194566633, 15195194566633, 15195194566633, 15195194566633, 15195194566633, 15195194566633, 15195194566633, 15195194566633, 15195194566633, 15195194566633"
"6925385","whatsapp","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","260952","187558"
"6321214","whatsapp","Delivery","Fake update","","","","Pidge","12_Dec'25","12_Dec Week 1","256754","1758254253536E7LME29T, 1758254253536E7LME29T"
"6246583","email","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 2","288765","1534175193275"
"6215359","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 2","286956",""
"6405935","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 3","313681","18755835584123, 18755835584123, 18755835584123, 18755835584123, 18755835584123"
"6405935","whatsapp","Delivery","Delayed Order","","","","Delhivery","12_Dec'25","12_Dec Week 3","313820","18755835584123"
"6308080","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 3","332171","187558354317, 187558354317, 187558354317"
"6402386","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","265503","18755835556554, 18755835556554, 18755835556554, 18755835556554, 18755835556554"
"6336639","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","260950","187558"
"12345","whatsapp","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 2","284879",""
"12345","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","259344","187558"
"4256804","whatsapp","Delivery","Fake Order RTO","","","","Xpressbees","12_Dec'25","12_Dec Week 3","312114","1519519462573, 1519519462573"
"4263407","instagram","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","277842","187558"
"6651055","email","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","108928","1875583717659, 1875583717659"
"6668898","whatsapp","Delivery","Lost/Damaged/Destroyed","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","261241","187558375135, 187558375135, 187558375135, 187558375135, 187558375135, 187558375135"
"6590909","email","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","259068","187558"
"6587381","whatsapp","Delivery","Fake Order RTO","","","","Xpressbees","12_Dec'25","12_Dec Week 1","249580","1519519587284, 1519519587284"
"6587381","whatsapp","Delivery","Fake Order RTO","","","","Xpressbees","12_Dec'25","12_Dec Week 1","249577","1519519587284, 1519519587284"
"6587381","whatsapp","Delivery","Fake Order RTO","","","","Xpressbees","12_Dec'25","12_Dec Week 1","249566","1519519587284, 1519519587284"
"6637027","whatsapp","Delivery","Fake Order RTO","","","","Xpressbees","12_Dec'25","12_Dec Week 2","286232","18755839264185"
"6650113","email","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 3","305248","15195195184333, 15195195184333, 15195195184333, 15195195184333, 15195195184333"
"6648313","email","Delivery","Marked Delivered but customer did not receive order","","","","Pidge","12_Dec'25","12_Dec Week 3","307590","176179514795NDP9TE6, 176179514795NDP9TE6"
"6648313","email","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 3","314541","176179514795NDP9TE6"
"6589691","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 2","303178","1875583682575, 1875583682575"
"6589691","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 2","303178","1875583682575, 1875583682575"
"6553735","instagram","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 2","285031","1875583712163, 1875583712163, 1875583712163"
"6651041","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","274229","18755837186471, 18755837186471, 18755837186471, 18755837186471, 18755837186471"
"6641361","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Shadowfax","12_Dec'25","12_Dec Week 1","265255","SF177288361MCA, SF177288361MCA"
"6641361","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Shadowfax","12_Dec'25","12_Dec Week 1","265255","SF177288361MCA, SF177288361MCA"
"6558379","email","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 4","383828","1875583668311, 1875583668311"
"6917324","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","277605","18755838649386, 18755838649386"
"6917324","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","277600","18755838649386, 18755838649386"
"6936403","whatsapp","Delivery","Fake Order RTO","","","","PurpleDrone","12_Dec'25","12_Dec Week 1","277599","PRD99442P, PRD99442P, PRD99442P, PRD99442P, PRD99442P"
"6936403","whatsapp","Delivery","Fake Order RTO","","","","PurpleDrone","12_Dec'25","12_Dec Week 1","277583","PRD99442P, PRD99442P, PRD99442P, PRD99442P, PRD99442P"
"6878923","whatsapp","Delivery","Fake Order RTO","","","","Xpressbees","12_Dec'25","12_Dec Week 1","277516","151951952556, 151951952556, 151951952556, 151951952556, 151951952556, 151951952556"
"6909625","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","277467","1875583863343, 1875583863343, 1875583863343, 1875583863343, 1875583863343"
"6951267","whatsapp","Delivery","Fake update","","","","Xpressbees","12_Dec'25","12_Dec Week 1","277370","15195195112244, 15195195112244, 15195195112244, 15195195112244, 15195195112244"
"6818484","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","276789","1875583821535, 1875583821535, 1875583821535"
"6922858","whatsapp","Delivery","Fake Order RTO","","","","Shadowfax","12_Dec'25","12_Dec Week 1","276904","SF177291468MCF, SF177291468MCF, SF177291468MCF, SF177291468MCF, SF177291468MCF, SF177291468MCF, SF177291468MCF"
"6944848","email","Delivery","Delayed Order","","","","Shadowfax","12_Dec'25","12_Dec Week 1","256792","SF253524256351MCA, SF253524256351MCA"
"6908396","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","276864","18755838635946, 18755838635946, 18755838635946, 18755838635946, 18755838635946, 18755838635946"
"6908396","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","276862","18755838635946, 18755838635946, 18755838635946, 18755838635946, 18755838635946, 18755838635946"
"6934645","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","276350","153417512379, 153417512379, 153417512379, 153417512379, 153417512379"
"6888964","whatsapp","Delivery","Fake Order RTO","","","","DTDC","12_Dec'25","12_Dec Week 1","276663","7D121447713, 7D121447713, 7D121447713, 7D121447713, 7D121447713, 7D121447713"
"6920713","email","Delivery","Fake Order RTO","","","","Shadowfax","12_Dec'25","12_Dec Week 1","273071","SF1772914655MCF, SF1772914655MCF, SF1772914655MCF, SF1772914655MCF"
"6920706","whatsapp","Delivery","Pincode not serviceable","","","","","12_Dec'25","12_Dec Week 1","276610",""
"6771917","email","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","273815","187558"
"6957070","whatsapp","Delivery","Delayed Order","","","","Blue Dart","12_Dec'25","12_Dec Week 1","276665","77695918, 77695918"
"6944112","email","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","273705","1875583892286, 1875583892286, 1875583892286, 1875583892286, 1875583892286"
"6929758","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","276293","1534175188575, 1534175188575, 1534175188575, 1534175188575, 1534175188575, 1534175188575"
"6920724","email","Delivery","Pincode not serviceable","","","","","12_Dec'25","12_Dec Week 1","272445",""
"6942922","email","Delivery","Fake Order RTO","","","","Pikndel","12_Dec'25","12_Dec Week 1","272028","PD873228, PD873228, PD873228, PD873228, PD873228"
"6958037","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275973","1519519459237, 1519519459237, 1519519459237, 1519519459237, 1519519459237"
"6926581","whatsapp","Delivery","Delayed Order","","","","Shadowfax","12_Dec'25","12_Dec Week 1","276121","SF257327688351MCA, SF257327688351MCA"
"6931151","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275852","151951945948, 151951945948, 151951945948, 151951945948, 151951945948"
"6956489","instagram","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","276429","18755838829872, 18755838829872, 18755838829872, 18755838829872, 18755838829872"
"6956489","instagram","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","276427","18755838829872, 18755838829872, 18755838829872, 18755838829872, 18755838829872"
"6956489","instagram","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","276422","18755838829872, 18755838829872, 18755838829872, 18755838829872, 18755838829872"
"6956489","instagram","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","276411","18755838829872, 18755838829872, 18755838829872, 18755838829872, 18755838829872"
"6915521","email","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","271962","1875583876734"
"6920799","email","Delivery","Pincode not serviceable","","","","","12_Dec'25","12_Dec Week 1","273160",""
"6957180","email","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","268598","1875583885365, 1875583885365, 1875583885365, 1875583885365, 1875583885365"
"6916528","email","Delivery","Pincode not serviceable","","","","","12_Dec'25","12_Dec Week 1","273196",""
"6924257","whatsapp","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275797","18755838832226, 18755838832226, 18755838832226, 18755838832226, 18755838832226"
"6930397","whatsapp","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275365","18755838777, 18755838777"
"6943744","whatsapp","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","274235","18755838936913, 18755838936913, 18755838936913, 18755838936913, 18755838936913, 18755838936913, 18755838936913"
"6957449","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275457","1519519525289, 1519519525289"
"6922858","whatsapp","Delivery","Fake Order RTO","","","","Shadowfax","12_Dec'25","12_Dec Week 1","276188","SF177291468MCF, SF177291468MCF, SF177291468MCF, SF177291468MCF, SF177291468MCF, SF177291468MCF, SF177291468MCF"
"6931999","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","273455","153417519336, 153417519336, 153417519336, 153417519336, 153417519336, 153417519336, 153417519336"
"6822570","email","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","271482","151952"
"6937474","whatsapp","Delivery","Delayed Order","","","","Blue Dart","12_Dec'25","12_Dec Week 1","275757","7672553665, 7672553665"
"6865717","whatsapp","Delivery","Fake update","","","","Xpressbees","12_Dec'25","12_Dec Week 1","276036","153417518934, 153417518934"
"6946788","whatsapp","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275751","18755838874893, 18755838874893, 18755838874893, 18755838874893, 18755838874893"
"6929592","email","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","272032","15341751927, 15341751927, 15341751927, 15341751927, 15341751927"
"6933919","whatsapp","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275739","18755838729562, 18755838729562, 18755838729562, 18755838729562, 18755838729562"
"6958037","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275972","1519519459237, 1519519459237, 1519519459237, 1519519459237, 1519519459237"
"6958037","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275953","1519519459237, 1519519459237, 1519519459237, 1519519459237, 1519519459237"
"6942037","whatsapp","Delivery","Fake update","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275944","1875583883165, 1875583883165, 1875583883165, 1875583883165, 1875583883165"
"6948850","whatsapp","Delivery","Delayed Order","","","","ElasticRun","12_Dec'25","12_Dec Week 1","274752","E176447875331151YM, E176447875331151YM, E176447875331151YM, E176447875331151YM, E176447875331151YM"
"6942037","whatsapp","Delivery","Fake update","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275937","1875583883165, 1875583883165, 1875583883165, 1875583883165, 1875583883165"
"6867511","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275680","1875583837241, 1875583837241"
"6928189","whatsapp","Delivery","Fake Order RTO","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275548","187558387245, 187558387245, 187558387245, 187558387245, 187558387245, 187558387245"
"6952931","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275790","153417519893, 153417519893, 153417519893, 153417519893, 153417519893"
"6937511","whatsapp","Delivery","Fake Order RTO","","","","Shadowfax","12_Dec'25","12_Dec Week 1","275472","SF257327981351MCA, SF257327981351MCA, SF257327981351MCA, SF257327981351MCA, SF257327981351MCA"
"6914782","whatsapp","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275590","187558386416, 187558386416, 187558386416, 187558386416, 187558386416"
"6934117","whatsapp","Delivery","Delayed Order","","","","Blue Dart","12_Dec'25","12_Dec Week 1","273666","76728432, 76728432, 76728432, 76728432, 76728432"
"6934117","email","Delivery","Delayed Order","","","","Blue Dart","12_Dec'25","12_Dec Week 1","273570","76728432"
"6929728","email","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","273016","1534175188597, 1534175188597, 1534175188597, 1534175188597, 1534175188597"
"6766189","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275311","1519519521266, 1519519521266, 1519519521266, 1519519521266"
"6876390","whatsapp","Delivery","Delayed Order","","","","Shadowfax","12_Dec'25","12_Dec Week 1","274127","SF24637596351MCA, SF24637596351MCA"
"6933147","whatsapp","Delivery","Fake Order RTO","","","","Blue Dart","12_Dec'25","12_Dec Week 1","275278","76727637862, 76727637862, 76727637862, 76727637862, 76727637862"
"6920312","whatsapp","Delivery","Fake Order RTO","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275328","151951952393, 151951952393, 151951952393, 151951952393, 151951952393"
"6930973","whatsapp","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","272109","1519519511945, 1519519511945, 1519519511945, 1519519511945, 1519519511945"
"6947048","whatsapp","Delivery","Delayed Order","","","","ElasticRun","12_Dec'25","12_Dec Week 1","274936","E1764449133723548UI, E1764449133723548UI"
"6954929","whatsapp","Delivery","Fake update","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275490","18755838862842, 18755838862842, 18755838862842, 18755838862842, 18755838862842"
"6935507","whatsapp","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275148","1875583873923, 1875583873923, 1875583873923, 1875583873923, 1875583873923"
"6941361","whatsapp","Delivery","Fake update","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275475","1875583887514, 1875583887514, 1875583887514, 1875583887514, 1875583887514"
"6941361","whatsapp","Delivery","Fake update","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275453","1875583887514, 1875583887514, 1875583887514, 1875583887514, 1875583887514"
"6941361","whatsapp","Delivery","Fake update","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275444","1875583887514, 1875583887514, 1875583887514, 1875583887514, 1875583887514"
"6941361","whatsapp","Delivery","Fake update","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275439","1875583887514, 1875583887514, 1875583887514, 1875583887514, 1875583887514"
"6938271","email","Delivery","Delayed Order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","272263","18755838945825, 18755838945825, 18755838945825, 18755838945825, 18755838945825"
"6927361","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275008","1875583869381, 1875583869381, 1875583869381, 1875583869381, 1875583869381, 1875583869381"
"6930397","whatsapp","Delivery","Fake update","","","","DELHIVERY","12_Dec'25","12_Dec Week 1","275364","18755838777, 18755838777"
"6948810","whatsapp","Delivery","Fake update","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275356","15195195112136, 15195195112136"
"6948810","whatsapp","Delivery","Fake update","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275352","15195195112136, 15195195112136"
"6954933","email","Delivery","Delayed Order","","","","Xpressbees","12_Dec'25","12_Dec Week 1","275335","153417518916, 153417518916"
